_id,id,description,company,deleted,deletedAt,updatedAt,createdAt,__v
65e723c0d3ddf3ae55b1152d,318,BR000318 - SECURITY-SE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1152e,319,BR000319 - COMMERCIAL FINANCE - CORPORATE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1152f,320,BR000320 - COMMERCIAL FINANCE - E&R,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11530,321,BR000321 - COMMERCIAL FINANCE - HEALTHCARE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11531,322,BR000322 - ADM DE PESSOAL INT,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11532,323,BR000323 - SEG DO TRAB E MEIO AMB,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11533,324,BR000324 - People Center,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11534,325,BR000325 - CLOUD-INFRASTRUCTURE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11535,326,BR000326 - VIDEO EQUIPMENT / CONFERENCING SYSTEM,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11536,327,BR000327 - GESTAO DE SERVICOS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11537,328,BR000328 - DATA HUB-AP RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11538,329,BR000329 - IS&T INNOV INITIAT-O.RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11539,330,BR000330 - TELEPHONY DEVICES-INFRASTRUCTURE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1153a,331,BR000331 - TELECOMMUNICATIONS MOBILE-INFRASTRUCTURE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1153b,332,BR000332 - ADMINISTRACAO DE PESSOAL FM RJ,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1153c,333,BR000333 - INFRA OTHER-RUN PEOPLE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1153d,334,BR000334 - FISCAL FM RJ,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1153e,335,BR000335 - TELECOMMUNICATIONS LANDLINE-INFRASTRUCTU,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1153f,336,BR000336 - TELECOMMUNICATIONS LANDLINE L&S-INFRASTR,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11540,337,BR000337 - IDENTITY SERVICES-INFRASTRUCTURE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
